# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection add function
# Column 3 = Avg time for BinSearchCollection add function
# Column 4 = Avg time for HashTableCollection add function
# Column 5 = Avg time for BSTCollection add function
# Column 6 = Avg time for AVLollection add function
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.00 0.01 0.00 0.01 0.05
2048 0.00 0.03 0.00 0.01 0.17
3072 0.00 0.03 0.53 0.01 0.13
4096 0.00 0.04 0.00 0.01 0.10
5120 0.45 0.69 0.00 0.02 0.16
6144 0.00 0.03 0.56 0.01 0.38
7168 0.00 0.04 0.00 0.02 0.63
8192 0.00 0.09 0.00 0.03 0.57
9216 0.00 0.10 0.00 0.03 0.61
10240 1.44 1.98 0.00 0.05 0.71
11264 0.00 0.13 0.00 0.05 0.77
12288 0.00 0.14 2.37 0.04 1.11
13312 0.00 0.15 0.00 0.05 0.83
14336 0.00 0.16 0.00 0.05 1.66
15360 0.00 0.19 0.00 0.05 1.14
16384 0.00 0.14 0.00 0.06 1.16
17408 0.00 0.19 0.00 0.06 1.71
18432 0.00 0.16 0.00 0.06 1.66
19456 0.00 0.23 0.00 0.07 1.96
20480 3.61 3.51 0.00 0.09 2.39
21504 0.00 0.23 0.01 0.07 1.62
22528 0.00 0.20 0.00 0.11 1.69
23552 0.00 0.27 0.00 0.08 1.74
24576 0.00 0.21 3.84 0.11 0.65
25600 0.00 0.08 0.00 0.03 0.65
26624 0.00 0.13 0.00 0.04 0.76
27648 0.00 0.09 0.00 0.03 0.77
28672 0.00 0.10 0.00 0.04 0.74
29696 0.00 0.11 0.00 0.04 0.81
30720 0.00 0.11 0.00 0.04 0.85
31744 0.00 0.13 0.00 0.04 0.88
32768 0.00 0.13 0.00 0.04 1.01
33792 0.00 0.13 0.00 0.05 0.98
34816 0.00 0.14 0.00 0.05 0.95
