# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# Column 6 = Avg time for AVLCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.01 0.00 0.00
1024 0.15 0.14 0.20 0.14 0.13
2048 0.32 0.24 0.34 0.27 0.26
3072 0.43 0.33 0.48 0.41 0.42
4096 0.58 0.58 0.61 0.51 0.50
5120 0.73 0.65 0.76 0.64 0.63
6144 0.82 0.71 0.90 0.83 0.76
7168 1.15 0.85 1.08 0.92 0.89
8192 1.21 1.06 1.23 1.06 1.04
9216 1.34 1.10 1.41 1.18 1.18
10240 1.56 1.29 1.54 1.30 1.34
11264 1.60 1.26 1.76 1.60 4.42
12288 4.19 3.82 4.16 2.04 6.82
13312 5.98 4.55 7.05 3.46 3.58
14336 5.00 3.13 4.36 3.55 3.00
15360 3.08 2.75 3.32 3.12 2.80
16384 2.93 2.89 2.99 2.68 2.71
17408 3.24 2.65 3.04 2.99 2.74
18432 3.18 2.73 3.18 2.77 2.70
19456 3.21 3.18 3.52 2.89 3.06
20480 3.29 2.97 3.45 2.95 2.79
21504 3.23 3.21 3.59 3.28 3.29
22528 3.46 3.52 5.03 5.96 3.47
23552 3.85 3.31 3.99 3.71 4.14
24576 4.38 4.07 5.04 4.42 4.74
25600 7.11 4.39 5.61 5.40 5.10
26624 5.21 5.13 5.52 5.45 4.23
27648 4.51 4.61 5.73 5.32 4.13
28672 4.53 5.39 7.55 5.37 5.25
29696 5.57 4.91 5.54 5.94 4.79
30720 5.16 5.07 5.60 6.33 4.67
31744 5.45 5.42 6.26 6.01 5.19
32768 5.94 5.36 6.40 5.62 5.46
