# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# Column 6 = Avg time for AVLCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.15 0.14 0.15 0.14 0.12
2048 0.30 0.26 0.30 0.26 0.25
3072 0.42 0.34 0.46 0.38 0.41
4096 0.62 0.51 0.60 0.53 0.53
5120 0.84 0.66 0.76 0.64 0.62
6144 0.82 0.71 0.93 0.81 0.83
7168 1.04 0.88 1.12 0.94 0.90
8192 1.20 1.02 1.25 1.07 1.05
9216 1.38 1.04 1.36 1.14 1.17
10240 1.49 1.30 1.68 1.34 1.28
11264 1.54 1.24 2.02 1.61 1.54
12288 1.74 1.45 2.00 1.77 1.78
13312 2.01 1.81 2.23 2.18 2.06
14336 2.41 1.94 2.47 2.26 2.02
15360 2.35 2.22 2.59 2.22 2.13
16384 2.50 2.38 2.56 2.36 2.35
17408 2.84 2.33 2.71 2.51 2.58
18432 2.75 2.38 2.95 2.49 2.39
19456 2.93 2.73 2.99 2.67 2.73
20480 3.24 2.92 3.09 2.78 2.78
21504 3.15 2.67 3.20 2.93 3.04
22528 3.25 3.12 3.26 3.06 2.99
23552 3.49 3.35 3.51 3.36 3.19
24576 3.71 3.28 3.64 3.65 3.40
25600 3.98 3.49 4.74 3.84 3.82
26624 4.29 4.15 4.46 3.92 4.05
27648 4.16 3.97 4.71 4.37 4.41
28672 4.85 4.31 4.89 4.42 4.43
29696 5.04 4.28 5.11 4.45 4.40
30720 4.86 4.20 5.01 4.70 4.45
31744 5.02 4.82 5.33 4.80 4.70
32768 5.28 4.72 5.47 4.85 4.97
33792 5.55 4.96 5.82 4.95 4.76
34816 5.59 5.07 5.76 5.28 5.15
