# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-value function
# Column 3 = Avg time for BinSearchCollection find-value function
# Column 4 = Avg time for HashTableCollection find-value function
# Column 5 = Avg time for BSTCollection find-value function
# Column 6 = Avg time for AVLCollection find-value function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.01 0.00 0.00 0.00 0.00
2048 0.03 0.00 0.00 0.00 0.00
3072 0.04 0.00 0.00 0.01 0.00
4096 0.05 0.00 0.00 0.01 0.00
5120 0.06 0.00 0.00 0.01 0.00
6144 0.07 0.00 0.00 0.01 0.00
7168 0.08 0.00 0.00 0.01 0.00
8192 0.09 0.00 0.00 0.01 0.00
9216 0.10 0.00 0.00 0.02 0.00
10240 0.12 0.00 0.00 0.02 0.00
11264 0.13 0.00 0.00 0.02 0.00
12288 0.14 0.00 0.00 0.02 0.00
13312 0.15 0.00 0.00 0.02 0.00
14336 0.16 0.00 0.00 0.03 0.00
15360 0.18 0.00 0.00 0.03 0.00
16384 0.19 0.00 0.00 0.03 0.00
17408 0.19 0.00 0.00 0.03 0.00
18432 0.21 0.00 0.00 0.03 0.00
19456 0.23 0.00 0.00 0.04 0.00
20480 0.23 0.00 0.00 0.04 0.00
21504 0.25 0.00 0.00 0.04 0.00
22528 0.25 0.00 0.00 0.04 0.00
23552 0.27 0.00 0.00 0.05 0.00
24576 0.28 0.00 0.00 0.05 0.00
25600 0.29 0.00 0.00 0.05 0.00
26624 0.30 0.00 0.00 0.05 0.00
27648 0.31 0.00 0.00 0.05 0.00
28672 0.32 0.00 0.00 0.05 0.00
29696 0.33 0.00 0.00 0.06 0.00
30720 0.35 0.00 0.00 0.06 0.00
31744 0.36 0.00 0.00 0.06 0.00
32768 0.37 0.00 0.00 0.06 0.00
33792 0.38 0.00 0.00 0.06 0.00
34816 0.40 0.00 0.00 0.08 0.00
