# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# Column 5 = Avg time for BSTCollection remove function
# Column 6 = Avg time for AVLCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.02 0.00 0.00 0.00 0.01
2048 0.04 0.01 0.00 0.01 0.03
3072 0.07 0.01 0.00 0.01 0.04
4096 0.09 0.01 0.00 0.01 0.06
5120 0.11 0.01 0.00 0.01 0.07
6144 0.13 0.02 0.00 0.02 0.09
7168 0.15 0.02 0.00 0.02 0.11
8192 0.17 0.03 0.00 0.02 0.14
9216 0.19 0.03 0.00 0.03 0.19
10240 0.22 0.04 0.00 0.03 0.18
11264 0.26 0.03 0.00 0.03 0.20
12288 0.26 0.04 0.00 0.03 0.22
13312 0.28 0.04 0.00 0.04 0.24
14336 0.30 0.04 0.00 0.04 0.28
15360 0.36 0.05 0.00 0.04 0.32
16384 0.35 0.05 0.00 0.04 0.31
17408 0.37 0.06 0.00 0.05 0.34
18432 0.40 0.06 0.00 0.05 0.37
19456 0.42 0.06 0.00 0.05 0.37
20480 0.44 0.07 0.00 0.05 0.41
21504 0.48 0.07 0.00 0.06 0.54
22528 0.58 0.08 0.00 0.08 0.48
23552 0.52 0.07 0.00 0.06 0.51
24576 0.58 0.08 0.00 0.07 0.51
25600 0.60 0.08 0.00 0.07 0.53
26624 0.68 0.08 0.00 0.07 0.54
27648 0.62 0.09 0.00 0.07 0.56
28672 0.73 0.09 0.00 0.07 0.57
29696 0.66 0.09 0.00 0.08 0.60
30720 0.68 0.17 0.00 0.09 0.61
31744 0.69 0.10 0.00 0.08 0.72
32768 0.75 0.11 0.00 0.09 0.70
