# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# Column 5 = Avg time for BSTCollection sort function
# Column 6 = Avg time for AVLCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.38 0.14 0.34 0.12 0.11
2048 0.69 0.27 0.79 0.25 0.22
3072 1.27 0.45 1.32 0.46 0.50
4096 1.51 0.45 1.56 0.45 0.47
5120 1.80 0.50 1.92 0.43 0.50
6144 2.61 0.97 2.51 0.90 0.81
7168 2.79 0.93 2.97 0.98 0.98
8192 3.08 1.02 3.28 1.00 0.88
9216 3.46 0.97 3.77 1.06 0.96
10240 3.68 0.97 3.99 0.95 1.06
11264 6.37 1.82 4.84 1.80 1.94
12288 5.25 1.76 5.24 2.04 1.92
13312 5.37 1.80 5.81 2.02 1.92
14336 5.78 2.01 5.97 1.95 1.91
15360 6.01 1.98 6.37 2.29 2.20
16384 6.44 2.05 6.92 1.92 1.75
17408 6.59 1.81 7.12 1.76 2.06
18432 6.97 1.80 7.60 1.98 2.07
19456 7.28 1.91 8.14 1.92 2.07
20480 8.03 2.26 8.07 1.93 2.17
21504 9.99 4.01 9.56 4.08 3.78
22528 10.09 4.00 10.30 3.52 3.93
23552 10.58 3.94 11.10 3.72 3.88
24576 11.41 3.88 10.72 4.02 3.59
25600 11.48 3.58 11.80 3.57 4.49
26624 11.48 3.96 12.28 3.65 4.20
27648 11.80 3.97 12.95 3.65 4.20
28672 12.55 4.08 13.01 3.66 4.27
29696 12.62 4.26 13.37 3.82 4.11
30720 13.39 4.38 14.60 3.85 4.43
31744 13.59 4.38 16.08 3.88 4.60
32768 14.44 4.37 15.75 4.02 4.57
33792 14.49 4.63 16.36 4.14 4.72
34816 14.80 4.68 17.55 4.24 5.20
