# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# Column 5 = Avg time for BSTCollection sort function
# Column 6 = Avg time for AVLCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.36 0.14 0.39 0.14 0.12
2048 0.82 0.29 0.85 0.27 0.23
3072 1.20 0.48 1.26 0.45 0.51
4096 1.55 0.46 1.54 0.44 0.49
5120 1.78 0.54 1.87 0.59 0.54
6144 2.78 0.90 2.66 1.10 0.83
7168 3.12 0.98 3.09 0.99 1.21
8192 3.34 1.08 3.33 1.09 1.22
9216 3.45 0.98 3.74 0.91 1.10
10240 3.82 0.97 3.91 0.94 1.04
11264 4.94 1.82 5.03 2.09 2.06
12288 5.44 2.03 5.45 2.10 2.22
13312 5.58 2.02 5.64 2.01 1.96
14336 5.82 2.10 6.35 2.16 2.08
15360 6.53 2.28 6.99 2.06 2.16
16384 7.19 2.30 7.87 2.15 2.50
17408 8.48 2.41 8.95 3.26 2.36
18432 8.12 2.19 8.61 2.12 2.28
19456 8.03 2.54 9.19 2.06 2.48
20480 8.81 2.53 9.41 2.21 2.77
21504 11.52 4.82 11.94 3.92 4.43
22528 13.33 4.96 12.19 4.35 4.15
23552 11.75 4.48 12.85 4.18 4.27
24576 12.65 4.45 12.68 5.06 4.96
25600 14.59 4.13 14.39 4.24 4.73
26624 13.86 4.62 14.32 4.05 5.09
27648 13.75 5.81 18.26 5.19 4.66
28672 13.99 5.26 16.77 4.84 4.86
29696 14.84 5.23 16.37 4.32 5.06
30720 15.09 5.42 17.14 5.39 5.13
31744 15.59 5.20 17.50 5.05 5.39
32768 15.59 4.94 17.68 4.33 5.30
33792 16.67 5.08 18.67 4.79 5.08
